,ticker, liabilities, equity, netincome, freecashflow, beta, ROE, debttoequity, assets, sector
405,ROL,NA,NA,179,144,1.1066,NA,NA,NA,"Services"
406,ROP,NA,NA,NA,NA,0.983,NA,NA,NA,"Industrial Goods"
407,ROST,2561,2748,1118,555,0.9765,0.40684133915574966,0.9319505094614265,2813,"Services"
408,RCL,NA,NA,NA,NA,1.369,NA,NA,NA,"Services"
409,CRM,NA,NA,NA,576,1.3234,NA,NA,NA,"Technology"
410,SBAC,9919,-2599,104,329,0.8055,-0.04001539053482109,-3.8164678722585608,260,"Technology"
411,SLB,NA,36842,-1505,5845,1.0399,-0.04085011671461918,NA,18497,"Basic Materials"
412,STX,7904,1364,NA,2261,1.334,NA,5.794721407624634,5041,"Technology"
413,SEE,5128,152,NA,515,0.853,NA,33.73684210526316,1866,"Consumer Goods"
414,SRE,37784,12670,256,-1485,0.306,0.020205209155485397,2.982162588792423,3341,"Utilities"
415,SHW,NA,NA,NA,NA,0.9776,NA,NA,NA,"Basic Materials"
416,SPG,28571,3686,1948,NA,0.5077,0.5284861638632664,7.75122083559414,NA,"Financial"
417,SWKS,508,4066,NA,376,0.9925,NA,0.1249385145105755,2634,"Technology"
418,SLG,7758,6225,101,-405,1.0392,0.016224899598393575,1.246265060240964,NA,"Financial"
419,SNA,NA,NA,558,NA,1.1326,NA,NA,NA,"Industrial Goods"
420,SO,86838,24167,926,634,0.2594,0.038316712872925894,3.5932469896966936,10072,"Utilities"
421,LUV,14680,10430,3488,1030,1.1389,0.33441994247363377,1.4074784276126557,4815,"Services"
422,SPGI,NA,NA,NA,NA,0.9946,NA,NA,NA,"Services"
423,SWK,10783,8297,1226,502,1.1839,0.14776425213932748,1.2996263709774618,4566,"Industrial Goods"
424,SBUX,8916,5450,2885,1757,0.7921,0.5293577981651376,1.6359633027522935,5283,"Services"
425,STT,216108,22317,2177,NA,1.2457,0.09754895371241655,9.683559618228257,NA,"Financial"
426,SYK,12231,9966,1020,1691,0.9358,0.10234798314268513,1.2272727272727273,7993,"Healthcare"
427,STI,180808,25154,2273,NA,1.3631,0.09036336169197742,7.188041663353741,NA,"Financial"
428,SIVB,47035,4180,491,NA,1.9476,0.11746411483253588,11.252392344497608,NA,"Financial"
429,SYMC,14687,3487,-106,1257,0.9455,-0.030398623458560366,4.211930025810152,5324,"Technology"
430,SYF,81574,14234,1935,5679,1.3453,0.13594211043979204,5.730925951946045,NA,"Financial"
431,SNPS,2121,3276,137,428,1.1529,0.041819291819291816,0.6474358974358975,1683,"Technology"
432,SYY,15375,2382,1143,1000,0.6312,0.47984886649874053,6.454659949622166,8033,"Services"
